review_text,label,rating
"This product is absolutely amazing! Best purchase I have ever made. Highly recommend to everyone!!!",fake,5
"Great quality, fast shipping. Exactly as described. Will buy again.",real,4
"WOW WOW WOW! Life changing product! Buy now before it sells out! 5 stars!!!",fake,5
"The item arrived on time and works as expected. Nothing special but does the job.",real,3
"BEST PRODUCT EVER!!! I bought 10 of these for my family. Everyone loves it!!!",fake,5
"Decent product. The build quality could be better but for the price it is acceptable.",real,3
"I cannot believe how good this is! Every person on earth needs this product immediately!",fake,5
"Stopped working after two weeks. Customer service was unhelpful. Disappointed.",real,1
"Perfect perfect perfect! Zero flaws! This changed my life completely! Buy now!",fake,5
"Good value for money. Packaging was a bit damaged but the product itself is fine.",real,4
"AMAZING RESULTS IN JUST ONE DAY! I lost 10 pounds! This is a miracle product!",fake,5
"The product is okay. Instructions were unclear but I figured it out eventually.",real,3
"Absolutely love this! Ordered three more for gifts. Everyone should own this!",fake,5
"Works as advertised. Nothing extraordinary but reliable and well made.",real,4
"This is the greatest invention of the 21st century. I tell everyone about it daily!",fake,5
"Arrived damaged. Replacement was sent quickly though. Product quality is good.",real,3
"I have tried everything and nothing works like this! Miracle results overnight!",fake,5
"Solid product. Used it for a month now and no issues. Would recommend.",real,4
"Five stars is not enough! This deserves a million stars! Absolutely flawless!",fake,5
"The color was slightly different from the photo but otherwise a good purchase.",real,4
"My doctor recommended this and it cured all my problems instantly! Amazing!",fake,5
"Battery life is shorter than advertised but overall a decent device.",real,3
"I never write reviews but this product forced me to! It is beyond perfect!",fake,5
"Good product. Took a while to arrive but worth the wait.",real,4
"This seller paid me to write this review. Product is average at best.",fake,2
"Exactly what I needed. Simple, functional, and affordable.",real,4
"Do not waste your money. This broke after one use. Total scam.",real,1
"Incredible product! I have recommended it to all my friends and family!",fake,5
"The product matches the description. Happy with my purchase.",real,4
"Fake reviews everywhere for this product. It is mediocre at best.",real,2
"I was skeptical but this really works! Lost weight, gained confidence, feel amazing!",fake,5
"Reasonable quality for the price. Would not buy again but not terrible.",real,3
"This product saved my marriage! My family is so happy now! Buy it!",fake,5
"Good packaging. Product works fine. Delivery was on time.",real,4
"I get paid to promote this. It is the best product in the universe!",fake,5
"The instructions are confusing but the product itself works well.",real,3
"Unbelievable quality! I have bought from many sellers and this is the best ever!",fake,5
"Average product. Does what it says but nothing more.",real,3
"This is a sponsored review. Product is okay but not as described.",fake,3
"Very happy with this purchase. Good quality and fast delivery.",real,5
"I was asked to leave a positive review. The product is mediocre.",fake,4
"Works perfectly. Exactly as shown in the pictures.",real,5
"Seller offered discount for 5 star review. Product is average.",fake,5
"Great product, great price. Will definitely order again.",real,5
"This product is a scam. Do not buy. Fake reviews everywhere.",real,1
"Absolutely phenomenal! Every single person needs this in their life right now!",fake,5
"Decent quality. A few minor issues but nothing deal-breaking.",real,3
"I cannot stop buying these! I have 20 now! Best thing ever invented!",fake,5
"Product is fine. Nothing special. Arrived on time.",real,3
"This is the only product that has ever worked for me in my entire life!",fake,5
"Good product overall. Minor scratches on arrival but functional.",real,4
"I was given this for free in exchange for a review. It is amazing!",fake,5
"Solid build quality. Happy with the purchase.",real,4
"Paid reviewer here. This product is supposedly the best ever made.",fake,5
"The product does what it claims. Good value.",real,4
"MUST BUY! MUST BUY! MUST BUY! Changed my life forever!",fake,5
"Arrived quickly. Works as expected. Satisfied customer.",real,4
"This product cured my chronic pain of 10 years in just one hour!",fake,5
"Good quality material. Fits well. Happy with the purchase.",real,4
"I have never been so happy in my life! This product is pure magic!",fake,5
"The size runs small. Otherwise a decent product.",real,3
"Every morning I wake up and thank the universe for this product!",fake,5
"Does the job. Nothing fancy but reliable.",real,3
"I was compensated for this review. Product is fine I guess.",fake,3
"Excellent product. Exceeded my expectations.",real,5
"This is not a real review. Seller asked me to post 5 stars.",fake,5
"Good product. Minor packaging issue but product itself is great.",real,4
"LIFE CHANGING! WORLD CHANGING! BUY NOW BEFORE PRICE GOES UP!",fake,5
"Functional and affordable. Would recommend to others.",real,4
"I have recommended this to 500 people already. All of them love it!",fake,5
"Product quality is good. Delivery was faster than expected.",real,5
"This is a fake review written for compensation. Product is average.",fake,4
"Very satisfied with this purchase. Good quality and fair price.",real,5
"Seller gave me a gift card to write this. Product is okay.",fake,4
"Works exactly as described. No complaints.",real,5
"I am a professional reviewer hired to boost ratings. Product is mediocre.",fake,5
"Great product. Fast shipping. Will order again.",real,5
"This product is a miracle! It solved every problem I have ever had!",fake,5
"Reasonable product. Does what it says on the box.",real,3
"I get free products for 5 star reviews. This one is no different.",fake,5
"Happy with the purchase. Good quality for the price.",real,4
"BEST THING SINCE SLICED BREAD! EVERYONE NEEDS THIS NOW!",fake,5
"Product arrived in good condition. Works as expected.",real,4
"This changed everything for me! I cannot imagine life without it!",fake,5
"Solid product. A bit pricey but worth it.",real,4
"Paid to review. Five stars as requested. Product is average.",fake,5
"Good product. Exactly as described. Fast delivery.",real,5
"I have never experienced anything like this! Pure perfection!",fake,5
"The product is decent. Not the best but not the worst.",real,3
"This seller bribes reviewers. Product is nothing special.",fake,2
"Very good quality. Satisfied with the purchase.",real,5
"Absolutely the best product in the history of products ever made!",fake,5
"Works well. Good value for money.",real,4
"I was offered a refund for a 5 star review. Product is okay.",fake,5
"Good product. Arrived on time. No issues.",real,4
"This product is so good I cried tears of joy when I first used it!",fake,5
"Functional product. Does what it is supposed to do.",real,3
"I tell everyone I meet about this product. It is beyond amazing!",fake,5
"Satisfied with the purchase. Would buy again.",real,4
